3062
10917 10993 86,934 KR72-51A(KR72-51A)
10917 11090 86,114 CL51A-71A(CL51A-71A)
10919 10934 67,046 KR69A-44A(KR69A-44A)
10919 11052 61,429 CL44A-68A(CL44A-68A)
10919 11052 61,429 CL44A-69(CL44A-69)
10920 11178 122,475 CC1-67(Cir1-67)
10924 10821 73,627 KR74A-55(KR74A-55)
10924 11066 77,571 CL55-74(CL55-74)
10925 10903 44,587 KR70-47D(AVENIDA_EL_COLOMBIANO)
10930 10655 162,763 CC1-68(Cir1-68)
10930 11005 89,525 KR68-1(KR68-1)
10934 10964 100,221 KR69A-44B(KR69A-44B)
10934 11074 61,837 CL44B-69(CL44B-69)
10939 10873 65,049 KR66B-34A(AVENIDA_BOLIVARIANA)
10939 11088 93,732 KR66B-34A(AVENIDA_BOLIVARIANA)
10939 11088 94,080 KR0-0(KR0-0)
10940 11038 49,712 CL51-71A(CL51-71A)
10942 10925 63,078 KR70-47D(AVENIDA_EL_COLOMBIANO)
10942 11270 147,029 CL47D-68A(CL47D-68A)
10948 11025 41,205 CC3-68A(Cir3-68A)
10953 10915 50,928 KR69-5(KR69-5)
10953 10970 49,836 KR69-42(KR69-42)
10964 11102 61,211 CL46-69(CL46-69)
10966 11118 84,908 CL53-71A(CL53-71A)
10966 11118 84,908 CL53-72(CL53-72)
10970 10995 67,384 KR69-42A(KR69-42A)
10970 11170 92,027 CL42A-68A(CL42A-68A)
10977 11391 199,399 CL50-70(AVENIDA_COLOMBIA)
10993 11118 97,320 KR72-52(KR72-52)
10993 11162 84,586 CL52-71A(CL52-71A)
10995 11026 77,906 KR69-43(KR69-43)
10995 11190 85,992 CL43-68A(CL43-68A)
11000 10738 233,146 KR74-53(KR74-53)
11000 10738 233,444 KR74-53(KR74-53)
11000 11234 158,130 CL55-73(CL55-73)
11003 10869 147,081 KR68C-3(KR68C-3)
11003 11098 41,670 CC5-68B(Cir5-68B)
11004 11022 74,640 KR69A-46B(KR69A-46B)
11004 11117 48,128 CL46B-69(CL46B-69)
11005 11242 131,795 CC2-66B(Cir2-66B)
11006 11011 52,857 KR66B-32F(KR66B-32F)
11006 11187 76,763 CL33-65D(AVENIDA_33)
11007 10911 52,098 CL33-66B(AVENIDA_33)
11011 10337 310,588 CL32F-66B(CL32F-66B)
11011 11024 33,287 KR66B-32F(KR66B-32F)
11022 11138 47,009 CL47-68A(CL47-68A)
11022 11138 47,009 CL47-69(CL47-69)
11026 11200 79,797 CL44-68A(AVENIDA_SAN_JUAN)
11030 10730 148,989 CL44-69(AVENIDA_SAN_JUAN)
11030 11052 63,251 KR69-44(KR69-44)
11031 10908 60,033 CL32B-66B(CL32B-66B)
11031 11037 94,002 KR66B-32B(KR66B-32B)
11033 11024 106,185 KR66B-32D(KR66B-32D)
11033 11393 146,703 CL32D-65F(CL32D-65F)
11035 11007 63,623 KR66B-33(KR66B-33)
11035 11173 60,940 CL34-66A(CL34-66A)
11037 10907 62,740 CL32C-66B(CL32C-66B)
11037 11033 52,397 KR66B-32C(KR66B-32C)
11037 11151 50,565 CL32C-66A(CL32C-66A)
11038 10977 60,965 KR71A-50(KR71A-50)
11038 11196 79,103 CL51-70(CL51-70)
11038 11196 79,103 CL51-71(CL51-71)
11046 11031 146,850 KR66B-32(KR66B-32)
11046 11355 130,498 CL32-65F(CL32-65F)
11052 11207 70,594 CL44A-68A(CL44A-68A)
11059 11046 54,664 KR66B-31A(KR66B-31A)
11059 11373 134,145 CL31A-65F(CL31A-65F)
11062 11059 47,129 KR66B-31(KR66B-31)
11062 11399 139,268 CL31-65F(CL31-65F)
11063 11070 55,474 KR66B-30A(KR66B-30A)
11065 11062 53,898 KR66B-30C(KR66B-30C)
11065 11415 141,869 CL30C-65F(CL30C-65F)
11070 11065 57,639 KR66B-30B(KR66B-30B)
11070 11428 145,858 CL30B-65F(CL30B-65F)
11074 11102 101,156 KR69-44B(KR69-44B)
11074 11223 68,317 CL44B-68A(CL44B-68A)
11082 10448 302,004 CL30-66B(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
11082 11063 87,801 KR66B-30(KR66B-30)
11083 12659 515,788 CL30-65(AVENIDA_UNIVERSIDAD_DE_MEDELLIN)
11088 11127 26,262 KR0-0(KR0-0)
11088 11127 26,640 KR66B-34A(AVENIDA_BOLIVARIANA)
11090 11038 42,648 KR71A-51(KR71A-51)
11090 11162 85,156 KR71A-51A(KR71A-51A)
11098 10948 148,999 KR68B-3(KR68B-3)
11098 11172 41,200 CC5-68A(Cir5-68A)
11099 11082 389,432 KR66B-26(KR66B-26)
11102 11106 29,124 CL69-46(CL69-46)
11106 11117 32,071 KR69-46A(KR69-46A)
11106 11243 62,422 CL46A-68A(CL46A-68A)
11117 11138 79,029 KR69-46B(KR69-46B)
11118 11238 65,788 CL53-71A(CL53-71A)
11121 11000 92,997 KR75-55(KR75-55)
11127 11215 66,150 KR66B-34B(AVENIDA_BOLIVARIANA)
11127 11308 113,266 CL34B-66A(CL34B-66A)
11138 11257 53,739 CL47-68A(CL47-68A)
11141 11005 83,488 KR68-2(KR68-2)
11141 11025 52,431 CC3-68(Cir3-68)
11141 11516 191,481 CC3-66B(Cir3-66B)
11143 11198 155,708 KR70-48D(KR70-48D)
11151 11272 50,098 CL32C-66(CL32C-66)
11153 10953 99,648 CL42-68A(CL42-68A)
11153 11170 69,517 KR68A-42(KR68A-42)
11162 11283 84,977 KR71A-52(KR71A-52)
11164 11151 91,640 KR66A-32B(KR66A-32B)
11170 11190 72,734 KR68A-42A(KR68A-42A)
11170 11379 84,626 CL42A-68(CL42A-68)
11171 11024 72,468 KR65D-32F(KR65D-32F)
11171 11370 81,019 CL32F-65F(CL32F-65F)
11172 11025 148,161 KR68A-3(KR68A-3)
11172 11265 43,169 CC5-68(Cir5-68)
11173 11421 138,785 KR66-34(KR66-34)
11178 10930 124,562 CC1-67(Cir1-67)
11178 11242 47,668 KR67-1(KR67-1)
11178 11417 97,206 CC1-66B(Cir1-66B)
11187 11007 77,156 CL33-65D(AVENIDA_33)
11187 11011 100,113 KR65D-32F(KR65D-32F)
11187 11262 33,876 CL33-65D-(AVENIDA_33)
11190 11200 87,834 KR68A-43(KR68A-43)
11190 11426 89,816 CL43-68(CL43-68)
11196 11244 42,459 KR71-51(KR71-51)
11198 11300 96,898 KR70-49()
11198 11301 96,899 KR70-49(KR70-49)
11200 11030 78,239 CL44-68A(AVENIDA_SAN_JUAN)
11200 11462 99,519 CL44-68(AVENIDA_SAN_JUAN)
11207 11200 68,041 KR68A-44(KR68A-44)
11215 11312 60,901 KR66B-35(AVENIDA_BOLIVARIANA)
11223 11207 64,469 KR68A-44A(KR68A-44A)
11234 10966 187,394 KR73-53(KR73-53)
11234 11452 142,846 CL55-71A(CL55-71A)
11238 11283 21,202 CL53-71A(CL53-71A)
11238 11319 66,502 KR71A-53(KR71A-53)
11242 11365 66,285 CC2-66B(Cir2-66B)
11243 11223 134,410 KR68A-44B(KR68A-44B)
11243 11257 112,249 KR68A-46A(KR68A-46A)
11244 11090 77,373 CL51A-71(CL51A-71)
11244 11307 53,802 KR71-51(KR71-51)
11244 11307 53,802 KR71-51A(KR71-51A)
11245 11141 68,506 KR67A-3(KR67A-3)
11245 11366 71,351 KR67A-4(KR67A-4)
11245 11651 187,547 CC4-66B(Cir4-66B)
11255 10385 441,224 CL50-70(AVENIDA_COLOMBIA)
11262 11171 75,952 KR65D-32F(KR65D-32F)
11262 11187 33,510 CL33-65D(AVENIDA_33)
11262 11818 182,058 CL33-65C(AVENIDA_33)
11262 11913 228,883 KR65D-34(KR65D-34)
11265 11141 154,065 KR68-3(KR68-3)
11265 11313 31,860 CC5-67A(Cir5-67A)
11270 11257 63,542 KR68A-46A(KR68A-46A)
11270 11257 63,542 KR68A-47(KR68A-47)
11270 12763 459,736 CL47D-65(CL47D-65)
11272 11278 87,306 KR66-32B(KR66-32B)
11272 11401 47,253 CL32C-65F(CL32C-65F)
11277 11173 41,862 CL34-65D(CL34-65D)
11277 11187 73,709 KR65D-33(KR65D-33)
11283 11481 80,913 CL53-71(CL53-71)
11288 11234 84,238 KR73-55(KR73-55)
11301 11255 76,681 CL49B-70(CL49B-70)
11301 11391 64,601 KR70-49B(KR70-49B)
11301 11588 103,739 CL49B-68(CL49B-68)
11301 11588 103,739 CL49B-69(CL49B-69)
11306 11196 52,939 CL51-70(CL51-70)
11306 11196 52,939 CL51-70A(CL51-70A)
11307 11481 106,232 KR71-51A(KR71-51A)
11307 11481 106,232 KR71-52(KR71-52)
11308 11421 51,954 CL34B-66(CL34B-66)
11308 11445 60,332 KR66A-34B(KR66A-34B)
11312 11417 53,991 KR66B-35A(AVENIDA_BOLIVARIANA)
11312 11582 121,546 CL35A-66A(CL35A-66A)
11313 11366 22,554 CC5-67A(Cir5-67A)
11319 11452 68,717 KR71A-53(KR71A-53)
11319 11452 68,717 KR71A-53A(KR71A-53A)
11319 11579 101,094 CL53A-70(CL53A-70)
11319 11579 101,094 CL53A-71(CL53A-71)
11328 11153 77,782 CL42-68(CL42-68)
11328 11265 72,179 KR68-0(KR68-0)
11328 11558 82,466 CL42-67A(CL42-67A)
11355 11363 76,729 KR65F-30A(KR65F-30A)
11355 11363 76,729 KR65F-32(KR65F-32)
11355 11373 52,520 KR65F-30A(KR65F-30A)
11355 11373 52,520 KR65F-31A(KR65F-31A)
11363 11587 73,261 CL32A-65CC(CL32A-65CC)
11363 11587 73,261 CL32A-65D(CL32A-65D)
11365 11178 79,539 CC1-66B(Cir1-66B)
11365 11516 71,219 KR66B-2(KR66B-2)
11366 11821 184,319 CC5-66B(Cir5-66B)
11367 11442 50,789 KR69-48D(KR69-48D)
11367 11691 119,358 CL48D-68(CL48D-68)
11370 11385 56,209 KR65F-32E(KR65F-32E)
11373 11399 52,710 KR65F-30A(KR65F-30A)
11373 11399 52,710 KR65F-31(KR65F-31)
11379 11328 76,417 KR68-42(KR68-42)
11385 11521 45,131 CL32E-65E(CL32E-65E)
11391 11255 55,432 CL50-70(AVENIDA_COLOMBIA)
11391 11479 63,898 KR70-50(KR70-50)
11393 11385 83,040 KR65F-32D(KR65F-32D)
11393 11533 46,557 CL32D-65E(CL32D-65E)
11399 11415 51,470 KR65F-30A(KR65F-30A)
11399 11415 51,470 KR65F-30C(KR65F-30C)
11401 11393 50,267 KR65F-32C(KR65F-32C)
11401 11414 19,752 KR65F-32A(KR65F-32A)
11401 11414 19,752 KR65F-32C(KR65F-32C)
11412 11363 95,110 KR65F-32A(KR65F-32A)
